,genres,artist_popularity
FEMM,"['j-pop girl group', 'japanese electropop']",32
CRAETION,['chillhop'],21
Tyzo Bloom,"['electropop', 'indie electropop', 'la pop']",35
Darren Ang,"['lo-fi vgm', 'pokemon', 'vgm instrumental']",38
Cocainejesus,"['hardvapour', 'vaporwave']",29
Varsity,"['chicago indie', 'indie rock']",33
Sarcastic Sounds,"['lo-fi chill', 'sad lo-fi']",64
sakehands,[],31
C418,"['dream smp', 'minecraft']",68
Gabrielle Aplin,"['acoustic pop', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",58
teddy<3,"['la pop', 'transpop']",33
Sherry W,[],11
TRACE,"['electropop', 'indie electropop']",35
Chong the Nomad,['seattle indie'],27
Julia Michaels,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74
Payday,['modern alternative pop'],46
Stormz Kill It,['trap beats'],17
Consequence,"['nyc rap', 'queens hip hop']",50
Julia Jacklin,"['art pop', 'indie folk', 'indie pop', 'indie rock', 'sydney indie']",55
Harry Nilsson,"['art rock', 'brill building pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",59
Scary Goldings,['modern funk'],33
Madison Beer,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",72
Smiley,"['canadian hip hop', 'toronto rap']",54
Broadcast,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'dream pop', 'experimental', 'hauntology', 'indietronica', 'singer-songwriter']",48
KYLE,"['pop', 'pop rap', 'rap', 'viral rap']",64
Funk Fiction,"['downtempo bass', 'future funk', 'japanese vgm']",38
Jinsang,"['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']",56
Lou Bega,['latin pop'],58
the booyah! kids,['bedroom pop'],42
Wallows,"['indie pop', 'modern rock', 'pop']",70
MØ,"['dance pop', 'danish pop', 'edm', 'electropop', 'pop', 'tropical house']",68
10cc,"['album rock', 'art rock', 'blues rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'yacht rock']",59
Justin Timberlake,"['dance pop', 'pop']",78
Coubo,"['chillhop', 'future bass', 'phonk', 'vapor twitch']",38
Cat Power,"['art pop', 'dream pop', 'indie pop', 'melancholia', 'singer-songwriter', 'slowcore']",56
Bugseed and ill.Sugi,[],3
Johnny Martian,[],22
Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",79
Cordae,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop', 'viral rap']",66
The Veronicas,"['australian pop', 'australian talent show', 'candy pop', 'dance pop', 'electropop', 'girl group', 'pop', 'post-teen pop']",55
POWERS,"['indie poptimism', 'la pop']",45
Arcade Player,[],54
You.,[],0
Call Me Loop,['uk pop'],40
Louie Zong,"['indie pop', 'weirdcore']",54
goosetaf,['lo-fi beats'],50
Lostboycrow,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'pop']",53
ConcernedApe,"['indie game soundtrack', 'video game music']",54
Wet,"['art pop', 'brooklyn indie', 'electropop', 'indie pop', 'indie poptimism', 'nyc pop', 'pop', 'vapor soul']",53
Brenda Lee,"['adult standards', 'brill building pop']",70
UPSAHL,"['alt z', 'electropop', 'indie poptimism', 'modern indie pop', 'pop', 'viral rap']",63
Sky.High,['lo-fi beats'],34
Harrison,"['future funk', 'toronto indie']",37
Joviale,[],24
LIZ,"['electropop', 'escape room', 'hyperpop', 'pink noise', 'proto-hyperpop']",44
Baby Tate,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'trap queen', 'viral rap']",64
Jukebox The Ghost,"['indie pop', 'indie poptimism', 'indiecoustica', 'modern rock', 'piano rock', 'pop rock', 'stomp and holler']",54
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",89
Eurythmics,"['art rock', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",67
BENEE,"['alt z', 'nz pop', 'pop']",66
Vulfpeck,"['ann arbor indie', 'funk rock', 'instrumental funk']",59
iwamizu,['japanese jazz fusion'],40
YOU LOVE HER,[],36
Jake Kaufman,['indie game soundtrack'],38
Kendall Miles,"['chillhop', 'lo-fi beats']",45
N.E.R.D,"['hip hop', 'virginia hip hop']",56
Band of Horses,"['indie rock', 'modern rock', 'stomp and holler']",59
Victoria Monét,"['alternative r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",62
Duckwrth,"['alternative r&b', 'indie r&b', 'indie soul', 'underground hip hop']",62
Years & Years,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house']",68
SALES,['orlando indie'],60
RKCB,"['electropop', 'indie electropop', 'indie poptimism', 'vapor soul']",49
Grimes,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",68
Philanthrope,"['chillhop', 'lo-fi beats']",52
bülow,"['alt z', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop', 'social media pop']",55
Anderson .Paak,['escape room'],78
Federico Dubbini,['japanese vgm'],45
Cuco,"['bedroom pop', 'dream pop']",70
King Princess,"['alt z', 'art pop', 'electropop', 'indie pop', 'indie poptimism', 'nyc pop', 'pop']",60
SOPHIE,"['art pop', 'deconstructed club', 'electropop', 'escape room', 'hyperpop', 'pop', 'proto-hyperpop', 'transpop']",50
Space Queen,[],31
Father,['underground hip hop'],47
Chirashe,[],0
Juicy J,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
JoJo,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",61
Phil Phillips,"['doo-wop', 'swamp pop']",35
Anarbor,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']",53
Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",78
Kehlani,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'rap']",75
Leavv,"['chillhop', 'lo-fi beats']",50
Leikeli47,"['alternative r&b', 'escape room', 'hip pop', 'trap queen']",49
Kailee Morgue,"['alt z', 'dark pop', 'electropop', 'indie pop', 'indie poptimism', 'pop', 'social media pop']",53
Tame Impala,"['australian psych', 'neo-psychedelic']",78
Asian Doll,"['dfw rap', 'escape room', 'trap queen', 'viral rap']",47
Mayaewk,['lo-fi beats'],37
LSD and the Search for God,"['american shoegaze', 'dream pop', 'nu gaze', 'shoegaze']",41
FKA twigs,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'pop', 'trip hop']",63
Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",78
Naaz,['dutch pop'],38
CRAY,['la pop'],33
99 Souls,"['house', 'uk house']",44
Claud,"['bedroom pop', 'indie pop']",50
UHMEER,[],32
Karen O,['new jersey indie'],47
KONA,[],17
Ol' Burger Beats,"['chillhop', 'jazz boom bap']",39
Calum Bowen,['indie game soundtrack'],37
emune,"['chillhop', 'lo-fi beats', 'phonk']",41
Janelle Monáe,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'electropop', 'escape room', 'neo soul', 'pop', 'r&b']",64
Noname,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'neo soul', 'rap', 'underground hip hop']",54
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",76
Echorobot,[],26
Lester Nowhere,"['chillhop', 'lo-fi beats']",33
benny blanco,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",74
j'san,"['chillhop', 'lo-fi beats']",56
Madame Gandhi,['vapor soul'],26
Julianna Joy,['gen z singer-songwriter'],34
Jae Stephens,['indie r&b'],42
Plusma,['chillhop'],40
Milkz,['lo-fi beats'],35
Ivy Sole,"['alternative r&b', 'escape room', 'north carolina hip hop']",42
mxmtoon,"['alt z', 'bedroom pop', 'indie pop']",65
BTS,"['k-pop', 'k-pop boy group']",91
Aidan,"['lo-fi chill', 'sad lo-fi', 'sad rap']",38
